Unnamed: 0,Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,SimillarHTTP, Inbound, Label
1013,172.16.0.5-192.168.50.1-741-29910-17,172.16.0.5,741,192.168.50.1,29910,17,36:20.6,155,12,0,4992,0,440,296,416,56.05192398,0,0,0,0,3.22E+07,77419.35484,14.09090909,27.56974626,85,1,155,14.09090909,27.56974626,85,1,0,0,0,0,0,0,0,0,0,240,0,77419.35484,0,296,440,417.8461538,54.07686837,2924.307692,0,0,0,0,0,0,0,0,0,452.6666667,416,0,240,0,0,0,0,0,0,12,4992,0,0,-1,-1,11,20,0,0,0,0,0,0,0,0,0,1,DrDoS_NTP
2216,172.16.0.5-192.168.50.1-634-49306-17,172.16.0.5,634,192.168.50.1,49306,17,36:20.6,12777,90,0,39600,0,440,440,440,0,0,0,0,0,3099319.089,7043.90702,143.5617978,607.412114,4505,0,12777,143.5617978,607.412114,4505,0,0,0,0,0,0,0,0,0,0,1800,0,7043.90702,0,440,440,440,0,0,0,0,0,0,0,0,0,0,0,444.8888889,440,0,1800,0,0,0,0,0,0,90,39600,0,0,-1,-1,89,20,0,0,0,0,0,0,0,0,0,1,DrDoS_NTP
1777,172.16.0.5-192.168.50.1-742-32207-17,172.16.0.5,742,192.168.50.1,32207,17,36:20.6,643,84,0,36960,0,440,440,440,0,0,0,0,0,5.75E+07,130637.6361,7.746987952,15.54524739,52,0,643,7.746987952,15.54524739,52,0,0,0,0,0,0,0,0,0,0,1680,0,130637.6361,0,440,440,440,0,0,0,0,0,0,0,0,0,0,0,445.2380952,440,0,1680,0,0,0,0,0,0,84,36960,0,0,-1,-1,83,20,0,0,0,0,0,0,0,0,0,1,DrDoS_NTP
505,172.16.0.5-192.168.50.1-634-48939-17,172.16.0.5,634,192.168.50.1,48939,17,36:20.6,195,14,0,5872,0,440,296,419.4285714,52.29165882,0,0,0,0,3.01E+07,71794.87179,15,21.80978374,52,0,195,15,21.80978374,52,0,0,0,0,0,0,0,0,0,0,280,0,71794.87179,0,296,440,420.8,50.66867164,2567.314286,0,0,0,0,0,0,0,0,0,450.8571429,419.4285714,0,280,0,0,0,0,0,0,14,5872,0,0,-1,-1,13,20,0,0,0,0,0,0,0,0,0,1,DrDoS_NTP
5226,172.16.0.5-192.168.50.1-743-31124-17,172.16.0.5,743,192.168.50.1,31124,17,36:20.6,792,86,0,37840,0,440,440,440,0,0,0,0,0,4.78E+07,108585.8586,9.317647059,19.44235176,107,0,792,9.317647059,19.44235176,107,0,0,0,0,0,0,0,0,0,0,1720,0,108585.8586,0,440,440,440,0,0,0,0,0,0,0,0,0,0,0,445.1162791,440,0,1720,0,0,0,0,0,0,86,37840,0,0,-1,-1,85,20,0,0,0,0,0,0,0,0,0,1,DrDoS_NTP
4768,172.16.0.5-192.168.50.1-634-2076-17,172.16.0.5,634,192.168.50.1,2076,17,36:20.6,19088,42,0,18336,0,440,368,436.5714286,15.51889935,0,0,0,0,960603.5205,2200.335289,465.5609756,2640.449091,16935,0,19088,465.5609756,2640.449091,16935,0,0,0,0,0,0,0,0,0,0,840,0,2200.335289,0,368,440,436.6511628,15.34194953,235.3754153,0,0,0,0,0,0,0,0,0,447.047619,436.5714286,0,840,0,0,0,0,0,0,42,18336,0,0,-1,-1,41,20,0,0,0,0,0,0,0,0,0,1,DrDoS_NTP
1909,172.16.0.5-192.168.50.1-634-10888-17,172.16.0.5,634,192.168.50.1,10888,17,36:20.6,8779,98,0,43120,0,440,440,440,0,0,0,0,0,4911721.153,11163.00262,90.50515464,169.1713951,803,0,8779,90.50515464,169.1713951,803,0,0,0,0,0,0,0,0,0,0,1960,0,11163.00262,0,440,440,440,0,0,0,0,0,0,0,0,0,0,0,444.4897959,440,0,1960,0,0,0,0,0,0,98,43120,0,0,-1,-1,97,20,0,0,0,0,0,0,0,0,0,1,DrDoS_NTP
5050,172.16.0.5-192.168.50.1-634-52122-17,172.16.0.5,634,192.168.50.1,52122,17,36:20.6,248,26,0,11440,0,440,440,440,0,0,0,0,0,4.61E+07,104838.7097,9.92,18.87882412,51,0,248,9.92,18.87882412,51,0,0,0,0,0,0,0,0,0,0,520,0,104838.7097,0,440,440,440,0,0,0,0,0,0,0,0,0,0,0,456.9230769,440,0,520,0,0,0,0,0,0,26,11440,0,0,-1,-1,25,20,0,0,0,0,0,0,0,0,0,1,DrDoS_NTP
2203,172.16.0.5-192.168.50.1-634-63079-17,172.16.0.5,634,192.168.50.1,63079,17,36:20.6,354,50,0,22000,0,440,440,440,0,0,0,0,0,6.21E+07,141242.9379,7.224489796,17.57041228,91,0,354,7.224489796,17.57041228,91,0,0,0,0,0,0,0,0,0,0,1000,0,141242.9379,0,440,440,440,0,0,0,0,0,0,0,0,0,0,0,448.8,440,0,1000,0,0,0,0,0,0,50,22000,0,0,-1,-1,49,20,0,0,0,0,0,0,0,0,0,1,DrDoS_NTP
3906,172.16.0.5-192.168.50.1-744-55856-17,172.16.0.5,744,192.168.50.1,55856,17,36:20.6,1351,34,0,14960,0,440,440,440,0,0,0,0,0,1.11E+07,25166.5433,40.93939394,93.91184011,501,0,1351,40.93939394,93.91184011,501,0,0,0,0,0,0,0,0,0,0,680,0,25166.5433,0,440,440,440,0,0,0,0,0,0,0,0,0,0,0,452.9411765,440,0,680,0,0,0,0,0,0,34,14960,0,0,-1,-1,33,20,0,0,0,0,0,0,0,0,0,1,DrDoS_NTP
